workflow_blob_url,line_number,weakness_type,evidence,explanation
https://github.com/microsoft/ignite25-LAB506-migrate-and-modernize-windows-and-sql-server-workloads-to-azure/blob/2361f423782e246f1dcde439cfcf13ec3acc3cb8/.github/workflows/add-to-project.yml,14,Unpinned Dependency Weakness (UDW),uses: actions/add-to-project@v1.0.2,"Action referenced by mutable version tag v1.0.2 instead of a pinned commit SHA, exposing the workflow to tag substitution attacks."
https://github.com/cloudposse-terraform-components/aws-dms-iam/blob/b4c7a43513587461e92bbf7321ca8d0a7c61abe6/.github/workflows/automerge.yml,10,Excessive Permission Weakness (EPW),permissions: pull-requests: write / id-token: write / contents: write,"Three write scopes granted at workflow level; broader than needed for an auto-merge operation. A compromised step could abuse these permissions to push code, modify PRs, or mint OIDC tokens."
https://github.com/cloudposse-terraform-components/aws-dms-iam/blob/b4c7a43513587461e92bbf7321ca8d0a7c61abe6/.github/workflows/automerge.yml,17,Unpinned Dependency Weakness (UDW),uses: cloudposse-terraform-components/.github/.github/workflows/shared-auto-merge.yml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/cloudposse-terraform-components/aws-dms-iam/blob/b4c7a43513587461e92bbf7321ca8d0a7c61abe6/.github/workflows/automerge.yml,20,Secrets Exposure Weakness (SEW),secrets: inherit,"secrets: inherit forwards all repository secrets to the external reusable workflow, exposing every secret to downstream code."
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged. Restrict to least privilege (e.g. contents: read).
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,13,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v4,Action referenced by mutable tag v4 instead of a pinned commit SHA.
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,18,Unpinned Dependency Weakness (UDW),uses: astral-sh/setup-uv@v6,Third-party action referenced by mutable tag v6 instead of a pinned commit SHA.
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,33,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v4,Action referenced by mutable tag v4 instead of a pinned commit SHA (second job).
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,38,Unpinned Dependency Weakness (UDW),uses: astral-sh/setup-uv@v6,Third-party action referenced by mutable tag v6 instead of a pinned commit SHA (second job).
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,1,Hardening Gap Weakness (HGW),name: Validate OCR Servers (no security scanning step),"CI test pipeline runs pytest with no integrated security scanning (SAST, dependency audit, or secret scanning) step."
https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged. Restrict to least privilege.
https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,13,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v2,Action referenced by mutable tag v2 instead of a pinned commit SHA.
